Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Latvia,5.43338442,5.77004433,5.76281166,5.4793458,6.20221329,5.83247328,5.70438385,5.51350451,5.58478308,6.09759474,6.097435,5.72401047,5.41047668,5.40874767,5.46339607,5.65211773,6.1332593,5.96542788,6.18867874,6.6141057,7.24775076,9.03743458,:
Lithuania,6.19950438,6.01339626,6.14446115,6.18627787,5.5114994,5.64800453,5.84418154,5.7643218,6.29453707,7.36587286,6.81462336,6.48781538,6.2759347,6.12593699,6.193326,6.49043941,6.63746214,6.47513771,6.53038597,6.9905653,7.48097849,7.82268572,7.46179771
Luxembourg,5.92533875,6.38193941,6.76099968,6.96221447,7.2793355,7.12328196,6.6364212,6.15803099,6.23101091,6.9499321,6.66263008,5.95225334,5.29404306,5.23557377,5.23040915,5.08113527,5.07103872,5.13535357,5.27988529,5.4700346,5.74203491,5.66813374,5.45618296
Malta,6.57308626,6.99985981,7.70661688,7.89556122,8.04820728,8.66396618,8.80992031,8.16883373,7.86335802,7.92382908,7.95211124,8.4481411,8.37802982,8.49665833,9.08505249,8.89759636,8.96600914,8.73092651,8.55117512,9.14845181,10.74076366,10.58440781,:
Monaco,3.69517851,3.75390792,3.80860424,4.43205786,4.52466917,4.50320387,4.29524565,3.81156135,4.08357811,4.84195948,4.95791674,4.63501215,4.7558527,4.57341814,4.44085073,4.31544638,4.12037039,4.15852404,4.03953457,3.87725186,4.27983093,3.68486166,:
Montenegro,:,:,:,:,:,:,:,:,:,:,:,7.96692181,8.29550457,8.47144604,8.00086784,9.02188778,8.63302994,7.98255396,8.34355545,8.32983208,11.42177582,10.55253506,:
Netherlands (Kingdom of the),7.7069602,8.05945873,8.64913177,9.05657101,9.1107645,9.09666824,9.08055115,9.05292606,9.27660465,9.9929266,10.15508747,10.23357868,10.53898716,10.58363628,10.56703758,10.32393837,10.056795,10.1082983,10.01993561,10.14039612,11.20924473,11.29425907,:
North Macedonia,8.86991501,8.3815918,8.97826958,9.00857735,8.46505451,7.67907524,7.38314581,6.57065344,6.55317593,6.52846384,6.71369696,6.51887369,6.61468363,6.71928358,6.28993368,6.34227896,6.37943363,6.43909454,6.45699358,7.06654119,7.73212385,8.5240345,:
Norway,7.70270586,8.00972462,8.98267078,9.19355106,8.79598331,8.29899502,7.8822999,8.01673985,7.91507673,9.03254128,8.8581152,8.73474026,8.72188568,8.87431335,9.28297901,10.06992245,10.53049755,10.22983646,9.96037865,10.43807551,11.42416386,10.07598026,8.14124467
Poland,5.28789568,5.66721439,6.06724358,5.95371294,5.86845207,5.80689144,5.80280542,5.87339211,6.37592173,6.587708,6.46800566,6.28671598,6.2652421,6.48017406,6.42679548,6.40416241,6.59210492,6.58342791,6.3129096,6.46008492,6.49677992,6.43857718,6.67762709
Portugal,8.60104179,8.62751484,8.78642941,9.124156,9.5325079,9.65306759,9.35422611,9.25186634,9.58307838,10.13070393,10.03250504,9.73071671,9.65393257,9.40486622,9.3428812,9.31645775,9.39439487,9.30583858,9.4126482,9.51379871,10.54770088,11.13700104,10.62375641
Republic of Moldova,5.92687273,6.23449755,7.40437651,7.02227592,8.97114944,9.55814838,10.54445267,11.02066803,10.94920063,13.6766243,10.13112831,9.09670353,9.13962078,8.68300343,8.63275623,8.55763531,7.53552246,7.1278038,6.70760345,6.49676275,7.00484037,7.7490406,:
Romania,4.20876169,4.37598133,4.57694626,5.37136793,5.47733593,5.52778196,5.07106066,5.02223349,5.02274227,5.2784133,5.63998747,4.47528124,4.50899887,5.22432709,5.02789736,4.94295502,5.08021355,5.1887908,5.51800871,5.7142148,6.22618055,6.47900152,:
Russian Federation,5.01989794,5.24284792,5.52166557,5.16368914,4.7603755,4.77177477,4.76654387,4.74792528,4.90364122,5.64392471,4.97111797,4.79491472,4.93637609,5.08104897,5.18209648,5.29604387,5.28970242,5.35889816,5.35520792,5.64849091,7.57117844,7.39170408,:
San Marino,5.7876792,5.64127541,5.39155769,4.77200127,4.86479282,4.88683653,4.91361904,5.09587288,5.41110897,6.18409586,6.20853519,8.0707283,8.98883724,8.23800278,8.30091763,8.43315315,8.4219532,8.25972271,8.2778492,8.14801598,8.48147392,7.97527838,:
Serbia,6.18360472,6.49679995,7.59296274,7.66696072,7.84200048,8.28380585,8.49390411,9.3764925,9.48246479,9.34623528,9.5273037,9.11380386,9.32820415,9.31232452,9.24598789,8.81319809,8.45890999,8.22039318,8.53168106,8.66552734,8.70042133,10.0125246,:
Slovakia,5.30256939,5.33150578,5.50947618,5.4484992,6.37190485,6.58870029,6.85076714,7.17735338,6.95634508,7.94779444,7.66638851,7.29859495,7.53581381,7.49518108,6.88411617,6.76215172,7.0915966,6.75694847,6.66639805,6.91974878,7.12667274,7.75100994,:
Slovenia,7.80406952,7.87602425,8.02119827,8.09883499,7.93957281,7.99595737,7.82322693,7.51139164,7.85466576,8.54080105,8.56503296,8.53639603,8.71509933,8.74028301,8.50197601,8.49823952,8.4630394,8.18480968,8.27693176,8.49918938,9.43295097,9.47775173,8.84674168
Spain,6.7992177,6.76895761,6.80052757,7.56327057,7.65842772,7.73191786,7.82905865,7.9186573,8.38225937,9.10764122,9.11891174,9.1679697,9.15415382,9.06397724,9.08488464,9.12207508,8.94727325,8.94491291,8.99686718,9.1456852,10.74565983,10.74003887,:
Sweden,7.32689953,7.90032959,8.21006203,8.31724644,8.1296196,8.1508379,8.05226612,7.99607754,8.20824242,8.77037907,8.31963825,10.41646671,10.7351532,10.90491486,10.9479475,10.80418396,10.85240364,10.78509998,10.94106293,10.83224297,11.33296967,11.24669552,10.66672516
Switzerland,9.13442421,9.46040154,9.88000202,10.13696766,10.22576523,10.05823421,9.58019924,9.41693878,9.53167629,10.1415062,9.93353558,10.04628563,10.14446354,10.37922478,10.42800808,10.77887917,10.9900341,11.0451622,10.77226162,11.06363678,11.73206806,11.80107975,:
Tajikistan,4.26492405,4.57802534,4.43647242,4.70218658,4.79911184,5.21024704,5.03254795,5.54050112,5.91206694,5.85579777,5.73543453,5.85971785,5.98185873,6.53226423,6.6654973,6.90735912,6.96349716,6.85399008,7.01381588,6.9476676,8.17692566,8.00994301,:
Türkiye,4.59957218,4.88784933,5.06227875,5.01427698,4.90964413,4.89389706,5.14591694,5.23760796,5.21761751,5.49438715,5.02053452,4.6530509,4.44444656,4.37099934,4.32517862,4.11690426,4.28469229,4.17974997,4.12363815,4.36568785,4.6167202,4.56528139,:
Turkmenistan,4.07783461,4.82198191,4.15504408,5.0367589,6.25892353,5.65422964,4.97834015,3.12948632,3.49424887,2.84764099,3.24345636,3.24805617,3.36840105,3.93541193,4.30969286,5.11721087,5.74498892,5.93897438,5.69395018,5.68183947,5.68472815,5.56931353,:
Ukraine,5.30685186,5.72534418,5.99220037,6.54574108,6.16856956,6.3461585,6.4171896,6.01776791,5.49754429,6.60991716,6.81387615,6.81669855,7.11789227,6.94358015,7.19506168,7.78352833,7.55205393,7.44187737,7.52051353,7.09389353,7.56217051,8.00599098,:
United Kingdom of Great Britain and Northern Ireland,7.12928009,7.34416342,7.65009499,8.05579185,8.30715179,8.36301231,8.62893772,8.62399578,9.02561569,10.04505444,9.92673969,9.92486763,9.95296001,9.87251186,9.86246872,9.79776669,9.72899723,9.5958786,9.73079777,9.95761967,12.15863419,12.36469936,11.34454918
Uzbekistan,5.11650658,5.23737431,5.14164925,5.1882515,4.84063768,4.781991,4.75141335,4.54267979,4.70447445,4.79649639,5.29938841,5.26245499,5.54822111,5.71896601,4.43092394,4.73596573,4.71504498,4.83789968,5.07702637,5.43133879,6.75143003,7.73795509,:
Bangladesh,1.80504513,1.77201855,1.93417108,1.96152198,1.99854314,2.05873919,2.10646582,2.17268491,2.11878848,2.18321705,2.28807664,2.36418128,2.3537879,2.29574466,2.27915168,2.27217698,2.38938212,2.36720181,2.31622243,2.25762248,2.27063942,2.36492991,:
Bhutan,4.44684267,5.0041995,4.59563637,4.1293807,4.59777308,4.13416338,4.4061017,4.1298461,3.38117099,3.5476253,3.55879498,3.34921789,3.61913681,3.70787191,3.55791116,3.75701189,3.57613945,3.3407371,3.2427721,3.60361075,4.36274862,3.84550023,:
India,4.03493309,4.26278067,4.24016762,4.00848055,3.95739174,3.79116249,3.63477802,3.51754212,3.51468062,3.48537874,3.27211928,3.24634218,3.32935286,3.74944186,3.61956549,3.59565997,3.50430417,2.93597651,2.8584938,2.95299792,3.34119558,3.28195357,:
Indonesia,1.85297656,2.11850214,1.98062706,2.24837184,2.12002277,2.53189397,2.61946416,2.82385564,2.54842305,2.62324095,2.7908783,2.98942471,2.91427088,2.86934805,2.96433568,2.92428517,3.02147198,2.90417194,2.86757827,2.87862897,3.42067289,3.70636249,:
Maldives,7.73655844,8.21364975,8.78440189,6.77857542,7.48356962,8.82753372,8.04819012,8.30568123,11.47104168,10.0928812,8.48758984,7.92251587,8.67304802,8.15509319,7.91345072,8.72545815,10.30544567,9.26917839,7.43627834,7.66067553,11.34723186,10.03153992,:
Myanmar,1.99549711,2.14881992,2.57854366,2.38126588,2.31822181,2.33031869,2.25168681,2.02357221,2.10873103,2.15950108,1.95585966,1.92666924,2.41021132,3.20071578,4.39346027,5.47780561,5.11349964,5.08065701,4.89992189,4.71061993,4.61919451,5.63134766,:
Nepal,3.13333869,3.812814,3.93915963,3.85658813,4.04684114,3.95148802,3.5445044,3.67347026,3.81807637,3.90232134,4.36190224,4.4528017,4.49078751,4.63012981,5.07549381,5.46615553,5.42378998,4.72174025,4.52845383,4.44525433,5.20810461,5.4169817,:
Sri Lanka,4.10818672,4.05662823,4.03715754,3.64646697,4.03912592,3.87908745,3.85019565,3.82258177,3.85482955,4.05676842,3.7414515,3.5819521,3.30659294,3.69365358,3.46786141,3.6826396,3.61788416,3.33093429,3.6418879,3.89904952,4.01770496,4.06650543,:
Thailand,3.10125351,3.02623773,3.334723,3.24312782,3.13893151,3.15972233,3.09970832,3.19277525,3.45933938,3.61939645,3.39009809,3.56825495,3.5229404,3.45313334,3.68448091,3.8522861,3.93900609,3.85276842,3.87040329,3.78911877,4.35728741,5.16038752,:
Timor-Leste,:,:,:,2.84187031,4.26103544,5.28044748,6.00192022,5.64793253,6.96563959,7.30931807,6.47058821,6.86541462,6.99215221,8.5323782,7.60483742,7.67216587,6.89625168,6.75752544,6.36952639,6.02679253,9.96385956,11.43839264,:
Australia,7.59412289,7.67809916,7.87627029,7.88087225,8.08708572,7.97029352,7.97702456,8.05496502,8.24855137,8.54473877,8.42025661,8.53744984,8.67456913,8.75058746,9.83354282,10.18225861,10.09288597,10.12281322,10.05971909,10.21965981,10.6837368,10.54363918,:
Brunei Darussalam,2.5479064,2.5465107,2.53447938,2.60260582,2.55193377,2.23386168,1.9072516,1.94145441,1.87612021,2.39306617,2.27826095,1.86409724,1.85097206,1.898314,1.91436803,2.38708901,2.54828691,2.27022862,2.41289377,2.19410944,2.39334464,2.20486665,:
Cambodia,6.53804731,7.00522089,7.22556973,6.93705606,7.07894278,6.84559298,6.11889315,4.90875959,6.60109425,7.58330584,6.91169977,7.50353098,7.26115417,7.10386753,6.70157766,6.19431591,6.11648464,5.65125847,6.06630135,6.84972715,7.11156559,7.53223085,:
China,4.50828123,4.25330067,4.38285255,4.41762781,4.29347467,4.17605019,3.94742203,3.67491412,3.900002,4.34958458,4.23068333,4.34274387,4.56584787,4.71490669,4.77790594,4.93827963,4.97955608,5.06592178,5.16790485,5.3502779,5.59359741,5.38360548,:
Cook Islands,3.03594232,3.25854468,3.43605018,3.20133734,3.40954423,3.906528,3.46895432,3.7235806,3.4264636,3.47490692,3.62945938,3.51529765,3.1066587,3.28935361,3.29125428,2.87401056,2.987252,2.79936099,2.65184522,2.75841761,3.64914894,3.82395315,:
Fiji,3.42441177,2.90547299,2.98349524,2.97298193,3.25768542,3.25656676,3.34798193,3.41514993,3.18467116,3.53587627,3.41664124,3.14293504,3.2655499,3.20040679,3.36860466,3.32468939,3.27979708,3.18689561,4.10572624,4.25136137,4.76918268,5.38085365,:
Japan,7.03456163,7.23947954,7.35235405,7.48654795,7.53518438,7.65818644,7.68688869,7.77935648,8.08909321,8.9587822,9.0630064,10.48780155,10.67169189,10.67438602,10.7290144,10.74969864,10.65891552,10.65627003,10.73988247,10.96998501,11.00493336,10.8226738,:
Kiribati,8.64500046,12.29581928,11.87037563,10.70136738,12.43446064,11.51761913,11.54089041,11.35849057,14.07738095,13.48823547,9.33727837,8.67428589,8.68852425,9.5287962,10.09137058,8.1057272,10.47440434,11.45574951,12.96860409,12.58647823,16.99116516,14.80788708,:
Lao People's Democratic Republic,4.27513599,4.29031658,3.69751263,4.47920704,3.54057336,3.33673191,2.93200922,3.15345573,2.76727295,3.46300411,2.91155219,1.94457507,2.07637572,2.39984965,2.29845548,2.45366454,2.36087489,2.52606821,2.24630332,2.60312223,2.05965185,2.74392009,:
Malaysia,2.51463366,2.6753974,2.66876554,2.92417073,2.86016941,2.78692698,3.10897732,3.07041144,3.00692558,3.2610569,3.16474271,3.31451917,3.45786357,3.51276922,3.71036959,3.82201481,3.70085335,3.71472311,3.75944281,3.83991051,4.08395433,4.38380671,:
Marshall Islands,17.4808979,14.81642723,12.84072018,12.76533508,15.61940098,20.21598053,20.33398056,16.26939583,15.20470905,14.53969955,13.93147564,13.08627224,13.03814125,13.46883583,13.20781231,15.33984375,15.73866177,14.38502884,15.26284122,14.82552052,12.58777618,12.54863834,:
Micronesia (Federated States of),7.76511145,8.45260048,7.89720392,9.57150459,12.02715683,17.73306656,10.74129105,11.0585041,11.99137974,12.55259323,13.10624504,13.09527397,12.27709675,12.10208416,11.72290421,12.46286297,13.13244915,12.1958313,11.65710258,11.2604599,10.84531593,10.96059132,:
Mongolia,5.69538355,5.05435562,5.18856382,4.10218763,4.15718555,3.7552557,3.74971509,4.07522774,4.55693007,4.45980072,3.73945689,3.58612084,3.85800076,4.08932018,4.20989752,4.23154545,4.58008575,4.33954334,4.53449297,4.49497843,4.6662488,6.911304,:
Nauru,18.96671295,16.22330093,13.80812454,9.97444248,6.87889576,10.82081795,12.41761494,24.23068047,23.0041008,12.31575871,12.6964016,9.96043968,8.84148979,9.85010052,8.38675785,14.00562382,10.99060059,11.4886446,11.10239792,11.55542469,12.68183994,13.06414223,:
New Zealand,7.4700222,7.5789361,7.90045929,7.72169256,7.90090561,8.27334881,8.63841629,8.32904434,9.12382889,9.62076378,9.59277534,9.51987362,9.65163612,9.36019325,9.40168381,9.28344345,9.24379444,8.96694851,9.0351162,9.49310207,10.07205391,10.04858398,:
Niue,7.92566109,38.13645935,11.11293316,9.52666473,17.34155083,12.30243301,50.18312073,23.6081562,23.25727081,28.82340813,15.54110909,19.82967377,10.30762005,9.70858097,10.8349247,8.7496357,7.75022793,8.51142979,7.99598455,7.27533102,8.97386074,13.75609207,:
Palau,8.69525814,7.79659462,8.01948452,8.96286488,9.91890907,9.29251766,9.56446457,9.80653,9.40130234,10.30605984,11.61802578,10.86477661,11.4970541,11.97790623,12.12317181,11.33741093,11.62825298,12.52633381,12.85856915,13.40278435,14.34041405,16.38419533,:
Papua New Guinea,2.0184176,2.3006382,2.77562952,2.4531486,2.59372902,2.44874048,2.42600322,2.42102122,2.13526058,2.32937527,2.10756016,2.29397798,2.66693544,2.99727893,3.27119064,1.81881714,2.33063054,2.22970986,2.30051899,2.3253386,2.30193973,2.32032132,:
Philippines,3.05512357,2.84775972,2.63767385,3.07663488,3.0468533,3.74253035,3.77762938,3.75318074,3.86315918,4.16451931,4.13107872,4.02518559,4.17709208,4.27408695,3.70313668,3.8982749,3.95484328,3.96042776,3.9538188,4.16646004,5.16214037,5.87126095,5.09624577
Republic of Korea,3.85544181,4.29693604,4.0143261,4.28309107,4.26715517,4.54809093,4.84870243,4.95489931,5.24600267,5.65905666,5.81980991,5.91454506,6.0325017,6.15069818,6.40432453,6.58926058,6.87049913,7.04742336,7.49119806,8.17479515,8.3497715,9.33145523,9.72047997
Samoa,4.28232527,3.81804991,4.49205494,4.17237139,4.52578545,4.63365459,4.88451385,4.7446332,4.53258085,5.12732029,5.15268326,5.38357162,4.9883461,6.2147789,6.25431204,6.21226454,5.63365221,5.16120243,4.77439356,5.63886738,6.18895578,6.80313492,:
Singapore,3.343364,3.16302657,3.358464,3.60699272,3.15019798,3.03367925,2.9347465,2.83749056,3.19488454,3.39853096,3.20265388,3.15792179,3.32783675,3.68562651,3.87155652,4.18069839,4.38810682,4.36493397,4.07545424,4.39938164,5.71281767,5.56525183,:
Solomon Islands,4.82626629,6.60538721,10.10495281,7.075634,7.72383881,9.01593494,8.00584698,7.18298769,5.50597048,6.60598898,4.66139841,5.02313328,4.87480497,4.57886171,4.88791895,4.44578695,4.40253973,4.14992523,3.77378345,4.32405567,4.79699087,4.76345396,:
Tonga,2.90389204,3.42501593,3.58957744,3.43583083,4.50741625,4.38560247,5.47225046,4.73330021,6.05759716,3.92779636,4.81632328,3.82126665,4.79517698,3.9839797,5.00648069,4.47327423,4.81820822,4.85577822,4.80628061,4.75078154,5.33435154,6.27256584,:
Tuvalu,22.37474632,18.47802734,12.42768574,14.38950729,9.88583279,10.56283283,12.27132893,10.51983929,10.1193676,12.26670933,15.65082836,14.10340405,13.5962553,14.3384304,14.6935215,13.52732944,18.61886597,24.28305244,18.64067841,22.41327286,18.86140633,19.96582222,:
Vanuatu,3.30683255,3.38728333,3.90437746,3.50691938,3.53991532,3.30528617,3.32189322,3.1078558,3.13810205,3.25197887,3.52656102,3.59819388,3.9356277,4.39234495,3.64668846,4.32168293,2.93130064,2.76285458,3.31753612,3.31453276,3.99482441,4.3733778,:
Viet Nam,4.10752726,4.80107498,3.87075853,3.94229889,4.08791971,4.31821251,4.56979847,4.62917614,4.36028337,4.48502922,5.07146072,4.97468519,5.00178242,4.41233158,4.69078779,4.71140909,4.86994743,4.99014759,5.02678823,4.97407484,4.30061865,4.59346437,:
